       9       
    2015       
    time      volt      loop
====================
       0               0               0               
     0.5             1.5               0               
      20             1.5               0               
     0.5               0               0               
       1               0               0               
     0.5             1.5            9999               
      10             1.5              -1               
     0.5               0              -1               
       1               0              -1               
