       9       
    time      volt      loop
====================
       0               0               0               
     500            1500               0               
   20000            1500               0               
     500               0               0               
    1000               0               0               
     500            1500            9999               
   10000            1500              -1               
     500               0              -1               
    1000               0              -1               
