       9       
    time      volt      loop
====================
       0               0               0               
    1000             500               6               
    1000             800              -1               
    1000             500              -1               
    1000               0              -1               
    1000            -500              -1               
    1000            -800              -1               
    1000            -500              -1               
       0               0              -1               
