      
    time       valid-volt       error-volt    current    loop
================================================
       0           0.004          -0.004             466               0      
     0.1           0.302          -0.002               2               0      
     0.2             0.6               0               0               0      
     0.3           0.942          -0.042               2               0      
     0.4           1.168           0.032               0               0      
     0.5               0               0               0               0      
     0.6            1.53           -0.03               0               0      
     0.7           1.486           0.014               1               0      
     0.8           1.506          -0.006               0               0      
     0.9           1.494           0.006               0               0      
       1           1.486           0.014               0               0      
     1.1               0               0               0               0      
     1.2           1.502          -0.002               0               0      
     1.3           1.486           0.014               0               0      
     1.4           1.518          -0.018               0               0      
     1.5           1.486           0.014               1               0      
     1.6           1.478           0.022               0               0      
     1.7               0               0               0               0      
     1.8           1.494           0.006               0               0      
     1.9           1.486           0.014               1               0      
       2           1.486           0.014               1               0      
     2.1           1.514          -0.014               0               0      
     2.2            1.47            0.03               0               0      
     2.3               0               0               0               0      
     2.4           1.478           0.022               1               0      
     2.5           1.478           0.022               1               0      
     2.6            1.49            0.01               0               0      
     2.7           1.482           0.018               0               0      
     2.8            1.49            0.01               0               0      
     2.9               0               0               0               0      
       3           1.506          -0.006               0               0      
     3.1           1.526          -0.026               0               0      
     3.2           1.506          -0.006               0               0      
     3.3           1.494           0.006               1               0      
     3.4           1.482           0.018               0               0      
     3.5               0               0               0               0      
     3.6            1.49            0.01               0               0      
     3.7           1.498           0.002               0               0      
     3.8           1.486           0.014               1               0      
     3.9            1.49            0.01               0               0      
       4           1.506          -0.006               0               0      
     4.1               0               0               0               0      
     4.2            1.49            0.01               0               0      
     4.3           1.486           0.014               1               0      
     4.4           1.486           0.014               1               0      
     4.5            1.53           -0.03               0               0      
     4.6           1.486           0.014               0               0      
     4.7               0               0               0               0      
     4.8           1.494           0.006               0               0      
     4.9           1.486           0.014               1               0      
       5           1.506          -0.006               0               0      
     5.1           1.494           0.006               0               0      
     5.2           1.474           0.026               0               0      
     5.3               0               0               0               0      
     5.4           1.474           0.026               0               0      
     5.5           1.534          -0.034               0               0      
     5.6            1.49            0.01               0               0      
     5.7           1.526          -0.026               0               0      
     5.8            1.49            0.01               0               0      
     5.9               0               0               0               0      
       6           1.474           0.026               1               0      
     6.1            1.49            0.01               0               0      
     6.2           1.494           0.006               0               0      
     6.3           1.486           0.014               1               0      
     6.4           1.494           0.006               0               0      
     6.5               0               0               0               0      
     6.6           1.478           0.022               0               0      
     6.7            1.51           -0.01               0               0      
     6.8           1.482           0.018               0               0      
     6.9           1.514          -0.014               0               0      
       7           1.502          -0.002               0               0      
     7.1               0               0               0               0      
     7.2           1.482           0.018               0               0      
     7.3           1.494           0.006               0               0      
     7.4           1.478           0.022               0               0      
     7.5           1.506          -0.006               0               0      
     7.6           1.518          -0.018               0               0      
     7.7               0               0               0               0      
     7.8           1.486           0.014               1               0      
     7.9           1.474           0.026               0               0      
       8           1.502          -0.002               1               0      
     8.1           1.498           0.002               0               0      
     8.2           1.494           0.006               0               0      
     8.3               0               0               0               0      
     8.4           1.478           0.022               0               0      
     8.5           1.482           0.018               0               0      
     8.6           1.478           0.022               0               0      
     8.7           1.478           0.022               1               0      
     8.8            1.51           -0.01               2               0      
     8.9               0               0               0               0      
       9           1.486           0.014               0               0      
     9.1           1.522          -0.022               0               0      
     9.2           1.482           0.018               0               0      
     9.3           1.494           0.006               0               0      
     9.4           1.482           0.018               1               0      
     9.5               0               0               0               0      
     9.6            1.49            0.01               1               0      
     9.7           1.498           0.002               0               0      
     9.8           1.498           0.002               0               0      
     9.9           1.478           0.022               0               0      
      10           1.494           0.006               0               0      
    10.1               0               0               0               0      
    10.2           1.466           0.034               1               0      
    10.3           1.498           0.002               0               0      
    10.4           1.494           0.006               0               0      
    10.5           1.526          -0.026               0               0      
    10.6            1.51           -0.01               2               0      
    10.7               0               0               0               0      
    10.8            1.49            0.01               1               0      
    10.9           1.498           0.002               0               0      
      11           1.486           0.014               0               0      
    11.1           1.486           0.014               1               0      
    11.2           1.482           0.018               0               0      
    11.3               0               0               0               0      
    11.4           1.502          -0.002               0               0      
    11.5           1.482           0.018               0               0      
    11.6            1.51           -0.01               0               0      
    11.7           1.494           0.006               0               0      
    11.8           1.486           0.014               0               0      
    11.9               0               0               0               0      
      12           1.486           0.014               0               0      
    12.1            1.51           -0.01               0               0      
    12.2           1.498           0.002               0               0      
    12.3           1.486           0.014               0               0      
    12.4           1.518          -0.018               0               0      
    12.5               0               0               0               0      
    12.6           1.482           0.018               1               0      
    12.7           1.518          -0.018               0               0      
    12.8           1.502          -0.002               0               0      
    12.9            1.49            0.01               1               0      
      13            1.51           -0.01               2               0      
    13.1               0               0               0               0      
    13.2           1.482           0.018               0               0      
    13.3           1.522          -0.022               0               0      
    13.4           1.494           0.006               1               0      
    13.5            1.49            0.01               0               0      
    13.6           1.506          -0.006               0               0      
    13.7               0               0               0               0      
    13.8           1.482           0.018               0               0      
    13.9           1.482           0.018               0               0      
      14            1.49            0.01               0               0      
    14.1           1.486           0.014               1               0      
    14.2           1.498           0.002               0               0      
    14.3               0               0               0               0      
    14.4           1.502          -0.002               0               0      
    14.5           1.494           0.006               0               0      
    14.6           1.514          -0.014               0               0      
    14.7           1.518          -0.018               0               0      
    14.8           1.486           0.014               1               0      
    14.9               0               0               0               0      
      15            1.51           -0.01               1               0      
    15.1           1.486           0.014               1               0      
    15.2           1.486           0.014               0               0      
    15.3            1.49            0.01               1               0      
    15.4           1.518          -0.018               0               0      
    15.5               0               0               0               0      
    15.6           1.486           0.014               1               0      
    15.7            1.49            0.01               0               0      
    15.8            1.49            0.01               0               0      
    15.9            1.47            0.03               1               0      
      16           1.486           0.014               0               0      
    16.1               0               0               0               0      
    16.2            1.53           -0.03               0               0      
    16.3           1.518          -0.018               0               0      
    16.4           1.486           0.014               0               0      
    16.5           1.494           0.006               0               0      
    16.6           1.522          -0.022               2               0      
    16.7               0               0               0               0      
    16.8           1.494           0.006               0               0      
    16.9           1.486           0.014               0               0      
      17           1.494           0.006               0               0      
    17.1           1.486           0.014               0               0      
    17.2            1.49            0.01               0               0      
    17.3               0               0               0               0      
    17.4           1.486           0.014               0               0      
    17.5           1.478           0.022               1               0      
    17.6           1.514          -0.014               0               0      
    17.7            1.49            0.01               0               0      
    17.8           1.518          -0.018               0               0      
    17.9               0               0               0               0      
      18            1.49            0.01               0               0      
    18.1           1.486           0.014               0               0      
    18.2           1.522          -0.022               2               0      
    18.3           1.478           0.022               1               0      
    18.4           1.494           0.006               0               0      
    18.5               0               0               0               0      
    18.6           1.506          -0.006               0               0      
    18.7            1.49            0.01               0               0      
    18.8           1.498           0.002               0               0      
    18.9           1.486           0.014               1               0      
      19            1.51           -0.01               0               0      
    19.1               0               0               0               0      
    19.2           1.502          -0.002               0               0      
    19.3            1.49            0.01               0               0      
    19.4            1.53           -0.03               2               0      
    19.5           1.478           0.022               0               0      
    19.6           1.478           0.022               0               0      
    19.7               0               0               0               0      
    19.8           1.494           0.006               0               0      
    19.9            1.49            0.01               0               0      
      20           1.486           0.014               0               0      
    20.1           1.498           0.002               2               0      
    20.2            1.49            0.01               0               0      
    20.3               0               0               0               0      
    20.4           1.506          -0.006               0               0      
