      21       
       1       
    time      volt      loop
====================
       0               0               0               
     0.4               1               0               
       1               1               0               
     0.2             0.5               0               
       2             0.5               0               
     0.4             1.5               0               
     1.5             1.5               0               
     0.5               0               0               
       1               0               0               
     0.4               2               0               
     2.5               2               0               
     0.2               4               0               
       1               4               0               
     0.4               0               0               
     0.2               0               0               
     0.5               3               0               
       1               3               0               
     0.5               0               0               
       1               3               0               
       5              -3            9999               
       1              -3              -1               
