      17       
       5       
    time      volt      loop
====================
       0               0               0               
     0.5               1               0               
     0.5               1               0               
     0.5               0               0               
     0.5               0               0               
     0.5               1               0               
     0.5               1               0               
     0.5               0               0               
     0.5               0               0               
       1               2            9999               
       1               2              -1               
       1               0              -1               
       1               0              -1               
     0.5              -1               0               
     0.5              -1               0               
     0.5               0               0               
     0.5               0               0               
